"max_pairwise_difference","max_pairwise_difference_excluding_ambiguous","max_variable_block_length","max_variable_block_length_excluding_ambiguous","min_pairwise_difference","min_pairwise_difference_excluding_ambiguous","theta","tajima_d","tajima_pi","segregating_sites"
97,162,162,162,4,6,0.1840554,162,2.074355,0.3010882
95,160,162,162,0,5,0.1840554,162,1.947226,0.2939157
96,161,162,162,3,8,0.1840554,162,2.085102,0.3016945
97,161,162,162,2,7,0.1840554,162,1.967846,0.2950791
97,161,162,162,2,2,0.1840554,162,2.063369,0.3004683
93,160,162,162,1,5,0.1840554,162,2.001109,0.2969557
99,162,162,162,1,3,0.1840554,162,2.077283,0.3012534
100,161,162,162,4,7,0.1840554,162,2.177047,0.3068819
100,161,162,162,1,2,0.1840554,162,2.158957,0.3058614
100,161,162,162,3,6,0.1840554,162,2.286908,0.3130802
103,161,162,162,2,4,0.1840554,162,1.947226,0.2939157
93,161,162,159,1,2,0.1840554,162,1.844931,0.2881443
95,161,162,162,2,2,0.1840554,162,1.786025,0.2848209
91,160,162,162,2,5,0.1840554,162,1.82553,0.2870497
94,159,162,159,1,4,0.1840554,162,1.681398,0.278918
99,160,162,162,0,0,0.1840554,162,1.85389,0.2886498
96,161,162,162,1,2,0.1840554,162,1.729437,0.2816283
91,161,162,162,0,4,0.1840554,162,1.574425,0.2728827
95,160,162,162,1,5,0.1840554,162,1.672704,0.2784275
103,160,162,147,2,2,0.1840554,162,1.779624,0.2844598
96,160,162,106,1,3,0.1840554,162,1.369002,0.2612929
90,161,162,162,1,4,0.1840554,162,1.462271,0.2665551
86,161,162,162,0,6,0.1840554,162,1.444235,0.2655375
90,161,162,157,0,3,0.1840554,162,1.425258,0.2644668
94,160,162,153,2,4,0.1840554,162,1.684009,0.2790653
94,161,162,162,2,5,0.1840554,162,1.746453,0.2825883
92,161,162,151,1,1,0.1840554,162,1.686646,0.2792141
98,161,162,162,3,5,0.1840554,162,1.708048,0.2804216
98,162,162,162,3,5,0.1840554,162,1.975466,0.295509
91,160,162,157,1,1,0.1840554,162,1.624373,0.2757007
93,161,162,162,1,1,0.1840554,162,1.715708,0.2808537
102,161,162,162,2,3,0.1840554,162,2.074381,0.3010897
94,160,162,162,2,2,0.1840554,162,1.846005,0.2882049
103,161,162,162,3,9,0.1840554,162,1.992376,0.296463
97,160,162,162,3,7,0.1840554,162,1.868202,0.2894573
107,161,162,162,3,6,0.1840554,162,2.069425,0.30081
101,161,162,162,4,5,0.1840554,162,2.140682,0.3048303
99,161,162,162,2,7,0.1840554,162,2.231527,0.3099556
106,162,162,162,3,7,0.1840554,162,2.208865,0.3086771
103,161,162,162,3,4,0.1840554,162,2.219547,0.3092797
97,162,162,162,0,5,0.1840554,162,2.08815,0.3018665
97,162,162,162,3,9,0.1840554,162,2.169904,0.3064789
100,161,162,162,1,1,0.1840554,162,2.291772,0.3133546
95,162,162,162,4,8,0.1840554,162,2.197588,0.3080408
105,162,162,162,3,11,0.1840554,162,2.278837,0.3126249
96,162,162,162,3,5,0.1840554,162,2.22494,0.3095841
101,162,162,162,2,11,0.1840554,162,2.315931,0.3147176
107,161,162,162,3,8,0.1840554,162,2.416303,0.3203805
97,161,162,162,2,8,0.1840554,162,2.30464,0.3140806
102,162,162,162,4,11,0.1840554,162,2.456908,0.3226714
102,161,162,162,3,11,0.1840554,162,2.479941,0.3239709
104,162,162,162,0,3,0.1840554,162,2.354349,0.3168851
101,161,162,162,3,4,0.1840554,162,2.372823,0.3179274
103,162,162,111,3,11,0.1840554,162,2.435824,0.3214819
108,161,162,162,2,4,0.1840554,162,2.451647,0.3223746
97,161,162,162,2,3,0.1840554,162,2.312114,0.3145023
101,161,162,162,1,3,0.1840554,162,2.362923,0.3173689
101,161,162,162,3,11,0.1840554,162,2.350042,0.3166421
98,161,162,162,1,1,0.1840554,162,2.232454,0.310008
101,161,162,162,1,1,0.1840554,162,2.408299,0.3199289
104,161,162,162,2,10,0.1840554,162,2.415522,0.3203364
100,161,162,162,3,5,0.1840554,162,2.37652,0.318136
99,162,162,162,2,9,0.1840554,162,2.404655,0.3197233
105,162,162,162,3,3,0.1840554,162,2.412368,0.3201585
106,162,162,162,3,4,0.1840554,162,2.408909,0.3199633
99,161,162,162,3,10,0.1840554,162,2.347537,0.3165008
100,162,162,162,4,10,0.1840554,162,2.476018,0.3237496
101,161,162,162,3,5,0.1840554,162,2.341097,0.3161375
100,162,162,162,4,12,0.1840554,162,2.339347,0.3160388
99,162,162,162,3,6,0.1840554,162,2.323842,0.315164
106,161,162,162,3,6,0.1840554,162,2.275365,0.312429
96,161,162,162,2,7,0.1840554,162,2.266871,0.3119497
103,162,162,162,1,1,0.1840554,162,2.269627,0.3121052
98,161,162,162,2,3,0.1840554,162,2.29148,0.3133381
98,162,162,162,1,13,0.1840554,162,2.324704,0.3152126
104,162,162,162,3,16,0.1840554,162,2.379515,0.318305
103,161,162,162,3,6,0.1840554,162,2.431,0.3212097
101,161,162,162,3,9,0.1840554,162,2.401116,0.3195237
99,162,162,162,0,3,0.1840554,162,2.300174,0.3138286
109,162,162,162,3,3,0.1840554,162,2.451422,0.3223619
101,162,162,162,2,12,0.1840554,162,2.475515,0.3237212
101,161,162,162,3,7,0.1840554,162,2.399804,0.3194497
100,161,162,162,3,5,0.1840554,162,2.317786,0.3148223
103,161,162,162,4,7,0.1840554,162,2.388023,0.318785
103,161,162,162,2,7,0.1840554,162,2.326585,0.3153188
98,162,162,162,3,10,0.1840554,162,2.333808,0.3157262
106,161,162,162,4,11,0.1840554,162,2.479119,0.3239245
99,161,162,162,2,11,0.1840554,162,2.436049,0.3214946
107,162,162,162,3,13,0.1840554,162,2.467709,0.3232808
98,161,162,162,3,6,0.1840554,162,2.419709,0.3205727
100,161,162,162,3,10,0.1840554,162,2.421856,0.3206938
102,161,162,162,3,9,0.1840554,162,2.4288,0.3210856
104,162,162,162,3,13,0.1840554,162,2.400149,0.3194691
102,162,162,162,4,7,0.1840554,162,2.390276,0.3189121
97,162,162,162,3,10,0.1840554,162,2.417032,0.3204217
99,161,162,162,3,11,0.1840554,162,2.256454,0.311362
101,162,162,162,3,12,0.1840554,162,2.366528,0.3175723
98,161,162,162,3,10,0.1840554,162,2.20485,0.3084506
100,162,162,162,3,13,0.1840554,162,2.396717,0.3192755
101,161,162,162,3,6,0.1840554,162,2.2872,0.3130966
98,161,162,162,3,6,0.1840554,162,2.271363,0.3122032
99,161,162,162,4,7,0.1840554,162,2.30399,0.314044
104,162,162,162,4,9,0.1840554,162,2.330601,0.3155453
99,162,162,162,3,10,0.1840554,162,2.267494,0.3119848
98,162,162,162,2,10,0.1840554,162,2.218606,0.3092267
97,162,162,162,4,5,0.1840554,162,2.355807,0.3169674
98,161,162,162,3,5,0.1840554,162,2.418026,0.3204777
102,161,162,162,2,8,0.1840554,162,2.331078,0.3155722
105,161,162,162,3,13,0.1840554,162,2.41523,0.32032
99,161,162,162,4,12,0.1840554,162,2.251631,0.3110899
97,161,162,162,2,4,0.1840554,162,1.984756,0.2960331
102,162,162,162,3,6,0.1840554,162,2.118551,0.3035817
102,161,162,162,3,12,0.1840554,162,2.214074,0.308971
99,161,162,162,3,10,0.1840554,162,2.185674,0.3073687
97,161,162,162,3,11,0.1840554,162,2.127775,0.3041021
101,160,162,162,2,6,0.1840554,162,2.284112,0.3129224
102,162,162,162,3,10,0.1840554,162,2.434486,0.3214064
98,161,162,162,3,8,0.1840554,162,2.399672,0.3194422
99,162,162,162,2,8,0.1840554,162,2.304004,0.3140447
98,161,162,162,2,5,0.1840554,162,2.33231,0.3156417
101,161,162,162,2,12,0.1840554,162,2.465191,0.3231387
100,160,162,162,3,6,0.1840554,162,2.309848,0.3143744
108,161,162,162,3,7,0.1840554,162,2.41796,0.320474
105,161,162,162,1,11,0.1840554,162,2.413772,0.3202377
98,160,162,162,4,7,0.1840554,162,2.370172,0.3177779
102,162,162,162,1,4,0.1840554,162,2.296344,0.3136125
107,162,162,162,3,6,0.1840554,162,2.431729,0.3212508
103,162,162,162,3,4,0.1840554,162,2.331078,0.3155722
100,161,162,162,3,6,0.1840554,162,2.273245,0.3123093
100,162,162,162,4,7,0.1840554,162,2.315732,0.3147064
99,162,162,162,3,5,0.1840554,162,2.346199,0.3164253
96,161,162,162,4,9,0.1840554,162,2.164868,0.3061948
102,161,162,162,2,9,0.1840554,162,2.360034,0.3172059
104,161,162,162,3,13,0.1840554,162,2.44086,0.321766
102,161,162,162,3,10,0.1840554,162,2.446267,0.322071
97,161,162,162,3,7,0.1840554,162,2.377381,0.3181846
101,161,162,162,3,8,0.1840554,162,2.32041,0.3149703
102,162,162,162,3,10,0.1840554,162,2.428615,0.3210751
104,162,162,162,4,5,0.1840554,162,2.402163,0.3195828
101,162,162,162,4,11,0.1840554,162,2.431371,0.3212307
102,162,162,162,4,15,0.1840554,162,2.488634,0.3244614
103,161,162,162,3,11,0.1840554,162,2.422903,0.3207529
102,161,162,162,2,8,0.1840554,162,2.385969,0.3186691
101,161,162,162,2,4,0.1840554,162,2.266049,0.3119034
91,161,162,162,2,8,0.1840554,162,1.904447,0.2915022
99,162,162,162,3,4,0.1840554,162,2.368343,0.3176747
102,161,162,162,2,4,0.1840554,162,2.246952,0.3108259
99,162,162,162,3,7,0.1840554,162,2.336273,0.3158653
101,161,162,162,3,5,0.1840554,162,2.320052,0.3149501
98,161,162,162,2,8,0.1840554,162,2.243189,0.3106136
106,161,162,162,0,1,0.1840554,162,2.294926,0.3135325
97,161,162,162,0,3,0.1840554,162,2.295575,0.3135692
102,161,162,162,1,11,0.1840554,162,2.352056,0.3167558
105,161,162,162,3,7,0.1840554,162,2.438528,0.3216344
96,162,162,162,4,7,0.1840554,162,2.358643,0.3171274
100,161,162,162,3,6,0.1840554,162,2.251882,0.3111041
106,161,162,162,3,8,0.1840554,162,2.321404,0.3150264
97,161,162,162,2,7,0.1840554,162,2.153325,0.3055436
96,161,162,162,3,7,0.1840554,162,2.190339,0.3076319
97,161,162,162,2,7,0.1840554,162,2.128596,0.3041484
95,161,162,162,3,9,0.1840554,162,2.270396,0.3121486
103,162,162,162,1,4,0.1840554,162,2.409558,0.32
95,161,162,162,3,5,0.1840554,162,2.217983,0.3091915
101,161,162,162,4,9,0.1840554,162,2.345815,0.3164036
103,162,162,162,4,14,0.1840554,162,2.437825,0.3215948
97,161,162,162,2,13,0.1840554,162,2.318462,0.3148604
105,162,162,162,4,11,0.1840554,162,2.500522,0.325132
106,161,162,162,3,6,0.1840554,162,2.379966,0.3183304
102,162,162,162,3,8,0.1840554,162,2.360445,0.3172291
101,161,162,162,4,9,0.1840554,162,2.471831,0.3235133
103,161,162,162,4,12,0.1840554,162,2.493922,0.3247597
109,162,162,162,4,9,0.1840554,162,2.482101,0.3240928
101,161,162,162,3,9,0.1840554,162,2.440038,0.3217196
99,161,162,162,2,12,0.1840554,162,2.485679,0.3242946
100,161,162,162,2,10,0.1840554,162,2.471446,0.3234916
103,162,162,162,0,8,0.1840554,162,2.446558,0.3220875
102,162,162,162,3,6,0.1840554,162,2.447499,0.3221406
103,161,162,162,3,7,0.1840554,162,2.399977,0.3194594
107,161,162,162,2,2,0.1840554,162,2.428946,0.3210938
103,161,162,162,1,5,0.1840554,162,2.313638,0.3145883
102,162,162,162,4,10,0.1840554,162,2.444862,0.3219918
101,161,162,162,3,11,0.1840554,162,2.431212,0.3212217
103,161,162,162,3,5,0.1840554,162,2.417417,0.3204433
98,161,162,162,4,12,0.1840554,162,2.383915,0.3185532
98,161,162,162,1,8,0.1840554,162,2.297921,0.3137015
99,162,162,162,1,6,0.1840554,162,2.300359,0.3138391
100,161,162,162,4,12,0.1840554,162,2.453728,0.322492
100,161,162,162,3,7,0.1840554,162,2.356403,0.317001
104,161,162,162,3,12,0.1840554,162,2.484407,0.3242229
101,162,162,162,3,4,0.1840554,162,2.395643,0.3192149
100,162,162,162,2,10,0.1840554,162,2.463402,0.3230378
98,161,162,162,4,6,0.1840554,162,2.403754,0.3196725
101,161,162,162,4,15,0.1840554,162,2.378283,0.3182354
102,162,162,162,3,5,0.1840554,162,2.348783,0.3165711
101,162,162,162,3,7,0.1840554,162,2.429476,0.3211237
102,161,162,162,4,13,0.1840554,162,2.493578,0.3247403
101,161,162,162,3,14,0.1840554,162,2.506088,0.3254461
102,162,162,162,3,15,0.1840554,162,2.443471,0.3219133
100,162,162,162,3,13,0.1840554,162,2.504948,0.3253818
98,162,162,162,3,3,0.1840554,162,2.412023,0.320139
